"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 17-Aug-2022"
NIFTY 200,"10,239.40","10,266.70","10,210.70","10,263.95","10,235.65",-28.3,-0.28,"1,10,60,64,557","4,56,45,50,92,913.97","10,480.40","8,767.55",-2.29,8.34
ADANIGREEN,940.55,"1,024.95",938.15,933.5,999,65.5,7.02,"55,24,623","5,48,41,27,513.41","2,572.00",439.1,0.99,-58.75
ADANIPOWER,286.95,321.65,286.25,286.55,304.6,18.05,6.3,"5,81,20,603","17,73,31,77,181.33",432.5,132.4,24.76,-26.06
ADANITRANS,824.9,894,824.75,822.2,870.25,48.05,5.84,"77,98,775","6,72,41,03,805.00","4,236.75",631.5,11.74,-76.02
CGPOWER,414.5,432,414,412.4,430.8,18.4,4.46,"33,36,542","1,42,40,69,491.02",432,212.1,4.21,82.6
AWL,368.1,393.55,367,368.1,382.5,14.4,3.91,"53,06,006","2,03,66,57,343.04",841.7,327.25,-4.85,-47.95
ADANIENT,"2,477.50","2,665.95","2,461.30","2,479.70","2,570.95",91.25,3.68,"1,46,79,923","37,62,43,49,050.54","4,190.00","1,017.45",6.52,-17.66
ATGL,633,676.8,632.5,633.7,655,21.3,3.36,"27,38,493","1,80,54,88,434.90","4,000.00",620.05,2.26,-80.7
ADANIPORTS,807,849.6,804.3,809.65,834,24.35,3.01,"2,25,02,392","18,70,53,38,373.92",987.85,395.1,14.12,-4.12
JSWENERGY,352,364.75,348.8,352.55,361.5,8.95,2.54,"38,16,243","1,36,60,24,181.85",369.9,204.65,23,14.6
AUBANK,703.45,719.4,701.4,698.4,713,14.6,2.09,"20,34,025","1,44,86,32,605.00",795,548,-7.94,11.28
ESCORTS,"2,795.00","2,874.35","2,781.65","2,790.40","2,841.95",51.55,1.85,"12,07,053","3,43,63,10,903.58","2,874.35","1,707.55",21.6,60.66
ACC,"1,895.00","1,955.95","1,883.00","1,900.85","1,933.50",32.65,1.72,"7,30,942","1,41,03,37,970.16","2,785.00","1,592.35",7.42,-17.73
POLICYBZR,712.9,735,708,710.15,721.6,11.45,1.61,"7,56,133","54,50,81,157.04",818,356.2,-6.39,31.06
AMBUJACEM,445.95,460.95,439.8,446,453,7,1.57,"47,45,941","2,14,46,90,737.90",598,315.3,7.64,7.75
BANKINDIA,89.2,91.9,88.4,89.35,90.75,1.4,1.57,"2,20,87,157","2,00,06,54,681.06",103.5,45.85,9.68,83.05
